Generation,averageFitness,BestFitness, leastOpenedBins
1,0.08307696,0.083333336,12
2,0.083141066,0.083333336,12
3,0.08326928,0.083333336,12
4,0.08307696,0.083333336,12
5,0.08333338,0.083333336,12
6,0.08326928,0.083333336,12
7,0.08326927,0.083333336,12
8,0.08333338,0.083333336,12
9,0.08333338,0.083333336,12
10,0.08333338,0.083333336,12
